FID,id,toilet_lokalitet,vejnavn,hus_nr,post_nr,adresse,toilet_betegnelse,handicapadgang,helaarsaabent,aftenlaasning,mandag,tirsdag,onsdag,torsdag,fredag,loerdag,soendag,doegnaabent,bemaerkning,utm_x,utm_y,longitude,latitude,data_opdatering,status,wkb_geometry
toilet_tmf_kk.24,174,Gammel Torv,Gammel Torv,22f,1457,"Gammel Torv 22f, 1457 København K",Toilet,Nej,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,aldrig lukket,Døgnåbent,Døgnåbent,Ja,0,724555.76817451,6176038.88132175,12.571727,55.678112,3.kvartal 2019,aktiv,MULTIPOINT ((12.57172713408028 55.67811205274012))
toilet_tmf_kk.25,177,Planetariet,Vester Søgade,2,1601,"Vester Søgade 2, 1601 København V",Toilet med handicapadgang,Ja,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,723773.02751899,6175630.09615812,12.558971,55.674807,3.kvartal 2019,aktiv,MULTIPOINT ((12.558970786657303 55.67480727542864))
toilet_tmf_kk.26,178,Axeltorv ved Cirkusbygningen,Jernbanegade,10,1608,"Jernbanegade 10, 1608 København V",Toilet,Nej,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Info om jul/nytår 2016. Info lægges på KK.dk medio december hvert år.,724121.0304508,6175765.17840007,12.564604,55.675858,3.kvartal 2019,aktiv,MULTIPOINT ((12.564603841614245 55.6758582679793))
toilet_tmf_kk.27,179,Vesterbro Torv,Vesterbrogade,47,1620,"Vesterbrogade 47, 1620 København V",Toilet med personale,Nej,Ja,Personale låser,09.00 -  16:00,09.00 -  16:00,09.00 -  16:00,09.00 -  16:00,09.00 -  16:00,lukket,lukket,Nej,Info om jul/nytår offentliggøres medio december hvert år.,723538.85532035,6175326.88624351,12.555008,55.672196,3.kvartal 2019,aktiv,MULTIPOINT ((12.555007583656028 55.67219586541539))
toilet_tmf_kk.28,180,"Istedgade, v. Mariakirken",Istedgade,20,1650,"Istedgade 20, 1650 København V",Pissoir,Nej,Nej- Vinterlukket fra 1/10 til 31/3,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når frosten kommer,723889.54889452,6175288.44527331,12.560541,55.67169,3.kvartal 2019,aktiv,MULTIPOINT ((12.560541359123253 55.67168963872638))
toilet_tmf_kk.29,181,Saxoparken ,Matthæusgade,8,1666,"Matthæusgade 8, 1666 København V",Toilet med handicapadgang,Ja,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,723330.87235623,6175066.92996615,12.551496,55.66996,3.kvartal 2019,aktiv,MULTIPOINT ((12.551495659138666 55.66996018794154))
toilet_tmf_kk.30,182,Enghave plads ,Enghave Plads,13b,1670,"Enghave Plads 13b, 1670 København V",Toilet med handicapadgang,Ja,Ja,Chaufførvagten låser,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Nej,0,722977.64103065,6174734.19817785,12.54562,55.667138,3.kvartal 2019,aktiv,MULTIPOINT ((12.545620348486123 55.66713841083004))
toilet_tmf_kk.31,183,Halmtorvet,Halmtorvet,12A,1700,"Halmtorvet 12A, 1700 København V",Toilet med handicapadgang,Ja,Ja,Chaufførvagten låser,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Nej,0,723940.68742382,6175163.73645185,12.561251,55.670548,3.kvartal 2019,aktiv,MULTIPOINT ((12.561251150228582 55.67054767323454))
toilet_tmf_kk.32,185,Sønder Boulevard ,Sønder Boulevard,60B,1720,"Sønder Boulevard 60B, 1720 København V",Toilet med handicapadgang,Ja,Ja,Chaufførvagten låser,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Ca. 9.00 - 22.00,Nej,0,723352.94344383,6174637.12984997,12.551496,55.666095,3.kvartal 2019,aktiv,MULTIPOINT ((12.551496339349157 55.66609552502657))
toilet_tmf_kk.33,186,Enghaveparken,Ejderstedgade,3,1761,"Ejderstedgade 3, 1761 København V",Toilet med handicapadgang,Ja,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,722690.81724118,6174793.95205559,12.541118,55.667806,3.kvartal 2019,aktiv,MULTIPOINT ((12.541117720260216 55.6678058313169))
toilet_tmf_kk.34,170,Overgaden oven Vandet,Overgaden oven Vandet,64A,1415,"Overgaden oven Vandet 64A, 1415 København K",Pissoir,Nej,Nej- Vinterlukket fra 1/10 til 31/3,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,Lukkes når frosten kommer,726052.31239521,6175765.78417275,12.595253,55.674969,3.kvartal 2019,aktiv,MULTIPOINT ((12.59525349782349 55.6749688336439))
toilet_tmf_kk.35,184,Den brune kødby,Halmtorvet,9C,1700,"Halmtorvet 9C, 1700 København V",Toilet,Nej,Ja,Nej,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Døgnåbent,Ja,0,723973.92721325,6175110.28656376,12.561735,55.670053,3.kvartal 2019,aktiv,MULTIPOINT ((12.561735009230418 55.670053009570836))
toilet_tmf_kk.36,175,"Bølgen, Kalvebod Brygge ",Kalvebod Brygge,3C,1560,"Kalvebod Brygge 3C, 1560 København V",Toilet med handicapadgang,Ja,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,724874.50240261,6175054.99638775,12.57598,55.669141,3.kvartal 2019,aktiv,MULTIPOINT ((12.573375692611595 55.66782710795629))
toilet_tmf_kk.37,187,"Enghaveparken, legeplads",Ejderstedgade ,1,1761,"Ejderstedgade  1, 1761 København V",Toilet,Nej,Ja,Personalet låser ,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Følger legepladsens åbningstider,Nej,Åbningstider legeplads sommer (uge 18-38): Mandag til fredag kl. 9 til 18. Lørdag lukket. Søndag kl. 10 til 17. Åbningstider legeplads mellemsæson (uge 5-17 & 39-43): Mandag til fredag 9 til 17.Lørdag og søndag lukket. Åbningstider legeplads vinter (uge 44-4): Mandag til fredag kl. 9 til 16. Lørdag og søndag lukket.,722727.59798651,6174807.64929445,12.541712,55.667912,3.kvartal 2019,aktiv,MULTIPOINT ((12.541712444691454 55.667911813865196))
toilet_tmf_kk.38,188,"Langelinie, østlige ende af bro",Langelinie,1,2100,"Langelinie 1, 2100 København Ø",Toilet med handicapadgang,Ja,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,725905.61660769,6177944.71410116,12.59472,55.694577,3.kvartal 2019,aktiv,MULTIPOINT ((12.594719722611963 55.69457712055326))
toilet_tmf_kk.39,189,"Langelinie, Hvidtfeldtmonumentet",Langelinie,25,2100,"Langelinie 25, 2100 København Ø",Toilet med handicapadgang,Ja,Ja (handicaptoilettet er helårsåbent),Ja,Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Ca. 9.00 - 21.00 (19.00 om vinteren),Nej,Handicaptoilettet er åben hele året. De andre toiletter er åbne fra 1. april til 30. september,726209.72424316,6177518.84951167,12.599197,55.690616,3.kvartal 2019,aktiv,MULTIPOINT ((12.59919681303647 55.6906164941624))
toilet_tmf_kk.40,190,Østre Anlæg,Stockholmsgade,62,2100,"Stockholmsgade 62, 2100 København Ø",Toilet med handicapadgang,Ja,Nej- Vinterlukket fra 1/10 til 31/3,Ja,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Ca. 9.00 - 21.00,Nej,Åbent fra 1. april til 30. september,725259.70637705,6177676.20467808,12.584244,55.692469,3.kvartal 2019,aktiv,MULTIPOINT ((12.584243686929145 55.69246933998925))
